"Timestamp","Reasons","LowResourceLag","SampleGapSeconds","SchedulerDelayMs","LoopMs","UiProbeMaxDelayMs","UserInputDelaySessionMaxMs","ForegroundProcess","ForegroundPid","ForegroundResponsive","ForegroundResponseMs","CpuPct","CommitUsedPct","DiskBusyPct","DiskQueue","ProcessQueryMs","SystemQueryMs"
"2026-04-23T11:12:08.3501022+02:00","MonitorLoop;ProcessEnumeration;CimPerfQuery","False","10,29","294","107080","12",,"","","","","21","22","0","0","6177","9892"
"2026-04-23T11:14:00.4407368+02:00","SampleGap;SchedulerDelay","False","112,09","102091","5515","81",,"","","","","25","22","0","0","649","1232"
"2026-04-23T11:17:40.6473226+02:00","CimPerfQuery","False","10,02","15","17127","21",,"","","","","20","25","0","0","420","16911"
