StartTime,EndTime,Source,Label,Severity,Note
2026-04-23T11:12:00+02:00,2026-04-23T11:14:00+02:00,manual,user_observed_spike,high,"User reported a slow peak around 11:12 where the computer was nearly unusable for a couple of minutes."
2026-04-23T11:18:00+02:00,2026-04-23T11:20:00+02:00,manual,user_observed_spike,high,"User reported a slow peak around 11:18 where the computer was nearly unusable for a couple of minutes."
